angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[105, 133, 230, 287]",,0.0,,0.83,,0.0,,0.03,,0.01,,0.12,
0.01,,"[105, 132, 231, 288]",,0.0,,0.76,,0.0,,0.01,,0.01,,0.22,
0.02,,"[104, 134, 231, 287]",,0.0,,0.85,,0.0,,0.04,,0.02,,0.07,
0.01,,"[103, 134, 231, 285]",,0.0,,0.91,,0.0,,0.0,,0.01,,0.06,
0.01,,"[103, 133, 231, 287]",,0.0,,0.87,,0.0,,0.01,,0.01,,0.1,
0.03,,"[103, 134, 230, 286]",,0.0,,0.83,,0.0,,0.02,,0.02,,0.1,
0.02,,"[102, 134, 231, 286]",,0.0,,0.84,,0.0,,0.02,,0.02,,0.09,
0.01,,"[103, 134, 230, 285]",,0.0,,0.91,,0.0,,0.01,,0.01,,0.07,
0.01,,"[103, 133, 231, 287]",,0.0,,0.89,,0.0,,0.01,,0.01,,0.08,
0.01,,"[104, 134, 230, 285]",,0.0,,0.77,,0.0,,0.01,,0.02,,0.19,
0.01,,"[102, 134, 231, 285]",,0.0,,0.91,,0.0,,0.02,,0.01,,0.05,
0.01,,"[102, 135, 230, 283]",,0.0,,0.88,,0.0,,0.03,,0.03,,0.04,
0.01,,"[102, 134, 230, 284]",,0.0,,0.73,,0.0,,0.19,,0.06,,0.02,
0.02,,"[102, 136, 230, 283]",,0.0,,0.78,,0.0,,0.09,,0.05,,0.05,
0.02,,"[100, 133, 232, 291]",,0.0,,0.26,,0.0,,0.59,,0.12,,0.02,
0.15,,"[101, 138, 226, 281]",,0.0,,0.07,,0.0,,0.46,,0.3,,0.01,
0.16,,"[102, 140, 223, 274]",,0.0,,0.11,,0.0,,0.48,,0.25,,0.0,
0.06,,"[99, 132, 227, 283]",,0.0,,0.04,,0.0,,0.76,,0.14,,0.0,
0.03,,"[99, 131, 228, 286]",,0.0,,0.02,,0.0,,0.83,,0.12,,0.0,
0.02,,"[101, 136, 223, 279]",,0.0,,0.02,,0.0,,0.87,,0.08,,0.0,
0.05,,"[101, 136, 223, 281]",,0.0,,0.03,,0.0,,0.81,,0.11,,0.0,
0.04,,"[101, 137, 224, 279]",,0.0,,0.02,,0.0,,0.85,,0.08,,0.0,
0.04,,"[100, 137, 224, 280]",,0.0,,0.05,,0.0,,0.81,,0.09,,0.01,
0.02,,"[101, 137, 223, 280]",,0.0,,0.03,,0.0,,0.9,,0.04,,0.0,
0.02,,"[100, 133, 228, 282]",,0.0,,0.02,,0.0,,0.89,,0.06,,0.0,
0.03,,"[100, 133, 227, 282]",,0.0,,0.02,,0.0,,0.88,,0.07,,0.0,
0.01,,"[101, 133, 228, 283]",,0.0,,0.02,,0.0,,0.92,,0.05,,0.0,
0.02,,"[102, 137, 225, 281]",,0.0,,0.03,,0.0,,0.9,,0.05,,0.0,
0.03,,"[103, 137, 224, 280]",,0.0,,0.03,,0.0,,0.87,,0.07,,0.0,
0.03,,"[102, 137, 226, 280]",,0.0,,0.03,,0.0,,0.89,,0.05,,0.0,
0.03,,"[102, 137, 224, 281]",,0.0,,0.04,,0.0,,0.85,,0.07,,0.01,
0.02,,"[102, 137, 223, 279]",,0.0,,0.03,,0.0,,0.89,,0.05,,0.0,
0.03,,"[100, 137, 225, 279]",,0.0,,0.04,,0.0,,0.89,,0.04,,0.0,
0.02,,"[100, 137, 224, 279]",,0.0,,0.05,,0.0,,0.88,,0.05,,0.0,
0.02,,"[101, 137, 224, 280]",,0.0,,0.05,,0.0,,0.87,,0.05,,0.01,
0.02,,"[102, 138, 222, 279]",,0.0,,0.04,,0.0,,0.89,,0.05,,0.01,
0.01,,"[100, 137, 224, 280]",,0.0,,0.03,,0.0,,0.92,,0.03,,0.01,
0.02,,"[101, 137, 223, 279]",,0.0,,0.03,,0.0,,0.92,,0.03,,0.0,
0.02,,"[102, 138, 222, 278]",,0.0,,0.03,,0.0,,0.91,,0.03,,0.01,
0.01,,"[95, 136, 232, 282]",,0.0,,0.01,,0.0,,0.95,,0.02,,0.0,
0.02,,"[101, 139, 223, 278]",,0.0,,0.02,,0.0,,0.92,,0.03,,0.01,
0.01,,"[100, 139, 224, 278]",,0.0,,0.04,,0.0,,0.91,,0.03,,0.01,
0.02,,"[95, 139, 232, 278]",,0.0,,0.01,,0.0,,0.93,,0.03,,0.0,
0.03,,"[95, 139, 230, 279]",,0.0,,0.01,,0.0,,0.91,,0.04,,0.0,
0.03,,"[97, 136, 225, 282]",,0.0,,0.01,,0.0,,0.84,,0.11,,0.0,
0.05,,"[100, 135, 225, 285]",,0.0,,0.01,,0.0,,0.85,,0.08,,0.0,
0.1,,"[99, 133, 228, 295]",,0.0,,0.02,,0.0,,0.71,,0.17,,0.0,
0.12,,"[98, 132, 228, 292]",,0.0,,0.02,,0.0,,0.65,,0.2,,0.0,
0.07,,"[97, 133, 228, 292]",,0.0,,0.02,,0.0,,0.74,,0.18,,0.0,
0.17,,"[97, 131, 229, 293]",,0.0,,0.02,,0.0,,0.51,,0.31,,0.0,
0.07,,"[96, 133, 230, 294]",,0.0,,0.05,,0.0,,0.69,,0.19,,0.0,
0.07,,"[95, 131, 233, 296]",,0.0,,0.02,,0.0,,0.77,,0.14,,0.0,
0.06,,"[95, 136, 231, 291]",,0.0,,0.07,,0.0,,0.75,,0.12,,0.0,
0.03,,"[93, 136, 232, 291]",,0.0,,0.05,,0.0,,0.8,,0.12,,0.0,
0.04,,"[96, 137, 230, 289]",,0.0,,0.09,,0.0,,0.71,,0.15,,0.0,
0.02,,"[95, 138, 230, 288]",,0.0,,0.05,,0.0,,0.84,,0.09,,0.0,
0.02,,"[92, 137, 233, 291]",,0.0,,0.03,,0.0,,0.91,,0.05,,0.0,
0.02,,"[93, 138, 232, 289]",,0.0,,0.03,,0.0,,0.9,,0.05,,0.0,
0.02,,"[94, 139, 231, 288]",,0.0,,0.03,,0.0,,0.89,,0.07,,0.0,
0.02,,"[95, 139, 230, 288]",,0.0,,0.04,,0.0,,0.87,,0.07,,0.0,
0.02,,"[94, 139, 231, 288]",,0.0,,0.03,,0.0,,0.89,,0.06,,0.0,
0.03,,"[94, 139, 232, 288]",,0.0,,0.04,,0.0,,0.84,,0.08,,0.0,
0.03,,"[97, 139, 229, 286]",,0.0,,0.08,,0.0,,0.8,,0.08,,0.01,
0.03,,"[97, 140, 228, 285]",,0.0,,0.06,,0.0,,0.81,,0.09,,0.0,
0.02,,"[96, 139, 230, 287]",,0.0,,0.04,,0.0,,0.83,,0.1,,0.0,
0.02,,"[96, 140, 229, 286]",,0.0,,0.04,,0.0,,0.84,,0.09,,0.0,
0.03,,"[96, 139, 229, 287]",,0.0,,0.06,,0.0,,0.81,,0.09,,0.0,
0.05,,"[95, 138, 230, 288]",,0.0,,0.15,,0.0,,0.69,,0.1,,0.01,
0.04,,"[96, 139, 230, 287]",,0.0,,0.05,,0.0,,0.81,,0.1,,0.0,
0.04,,"[95, 140, 232, 288]",,0.0,,0.04,,0.0,,0.79,,0.12,,0.0,
0.04,,"[96, 138, 233, 290]",,0.0,,0.07,,0.0,,0.77,,0.12,,0.0,
0.04,,"[95, 139, 232, 289]",,0.0,,0.08,,0.0,,0.79,,0.09,,0.0,
0.05,,"[93, 144, 232, 278]",,0.0,,0.03,,0.0,,0.82,,0.1,,0.0,
0.11,,"[93, 144, 233, 278]",,0.0,,0.03,,0.0,,0.71,,0.15,,0.0,
0.12,,"[94, 144, 234, 280]",,0.0,,0.06,,0.0,,0.52,,0.29,,0.0,
0.07,,"[96, 147, 234, 280]",,0.0,,0.09,,0.0,,0.67,,0.15,,0.01,
0.07,,"[96, 145, 233, 279]",,0.0,,0.08,,0.0,,0.66,,0.18,,0.0,
0.17,,"[95, 145, 234, 280]",,0.0,,0.08,,0.0,,0.45,,0.3,,0.0,
0.06,,"[95, 144, 238, 283]",,0.0,,0.05,,0.0,,0.69,,0.2,,0.0,
0.06,,"[97, 146, 236, 280]",,0.0,,0.05,,0.0,,0.71,,0.17,,0.0,
0.07,,"[96, 145, 236, 281]",,0.0,,0.07,,0.0,,0.64,,0.22,,0.01,
0.11,,"[97, 145, 239, 283]",,0.0,,0.03,,0.0,,0.67,,0.18,,0.0,
0.13,,"[96, 144, 239, 284]",,0.0,,0.03,,0.0,,0.67,,0.17,,0.0,
0.08,,"[97, 148, 233, 278]",,0.0,,0.09,,0.0,,0.62,,0.16,,0.04,
0.09,,"[97, 147, 234, 278]",,0.0,,0.04,,0.0,,0.74,,0.13,,0.01,
0.1,,"[96, 147, 236, 280]",,0.0,,0.04,,0.0,,0.7,,0.15,,0.01,
0.12,,"[96, 146, 235, 283]",,0.0,,0.06,,0.0,,0.62,,0.19,,0.01,
0.12,,"[96, 148, 234, 279]",,0.0,,0.06,,0.0,,0.63,,0.17,,0.02,
0.15,,"[96, 147, 235, 282]",,0.0,,0.06,,0.0,,0.58,,0.19,,0.01,
0.18,,"[96, 147, 233, 282]",,0.0,,0.07,,0.0,,0.57,,0.17,,0.02,
0.13,,"[97, 149, 232, 278]",,0.0,,0.05,,0.0,,0.62,,0.18,,0.03,
0.21,,"[96, 150, 232, 277]",,0.0,,0.06,,0.0,,0.49,,0.22,,0.02,
0.18,,"[95, 149, 234, 280]",,0.0,,0.09,,0.0,,0.46,,0.26,,0.02,
0.16,,"[95, 149, 234, 279]",,0.0,,0.07,,0.0,,0.52,,0.22,,0.03,
0.31,,"[94, 148, 235, 281]",,0.0,,0.08,,0.0,,0.32,,0.27,,0.02,
0.21,,"[95, 148, 234, 280]",,0.0,,0.09,,0.0,,0.41,,0.26,,0.02,
0.21,,"[95, 149, 232, 278]",,0.0,,0.08,,0.0,,0.41,,0.28,,0.02,
0.34,,"[95, 149, 233, 279]",,0.0,,0.07,,0.0,,0.35,,0.22,,0.02,
0.25,,"[95, 149, 233, 279]",,0.0,,0.06,,0.0,,0.43,,0.23,,0.02,
0.15,,"[94, 148, 234, 279]",,0.0,,0.05,,0.0,,0.57,,0.22,,0.01,
0.21,,"[94, 149, 232, 275]",,0.0,,0.07,,0.0,,0.45,,0.23,,0.03,
0.18,,"[94, 149, 233, 276]",,0.0,,0.07,,0.0,,0.44,,0.27,,0.03,
0.11,,"[93, 148, 234, 276]",,0.0,,0.04,,0.0,,0.7,,0.14,,0.02,
0.12,,"[95, 148, 231, 273]",,0.0,,0.03,,0.0,,0.7,,0.14,,0.01,
0.17,,"[96, 151, 230, 272]",,0.0,,0.06,,0.0,,0.53,,0.2,,0.04,
0.07,,"[97, 150, 229, 272]",,0.0,,0.04,,0.0,,0.68,,0.18,,0.03,
0.05,,"[98, 152, 226, 268]",,0.0,,0.05,,0.0,,0.73,,0.15,,0.02,
0.06,,"[97, 151, 227, 269]",,0.0,,0.05,,0.0,,0.74,,0.14,,0.02,
0.08,,"[97, 150, 227, 272]",,0.0,,0.06,,0.0,,0.67,,0.16,,0.03,
0.07,,"[96, 149, 228, 272]",,0.0,,0.04,,0.0,,0.73,,0.15,,0.01,
0.05,,"[98, 152, 226, 269]",,0.0,,0.06,,0.0,,0.7,,0.16,,0.03,
0.08,,"[98, 152, 226, 270]",,0.0,,0.07,,0.0,,0.7,,0.13,,0.03,
0.02,,"[96, 148, 227, 273]",,0.0,,0.03,,0.0,,0.89,,0.06,,0.0,
0.02,,"[97, 148, 227, 273]",,0.0,,0.02,,0.0,,0.9,,0.06,,0.0,
0.01,,"[96, 150, 227, 270]",,0.0,,0.01,,0.0,,0.94,,0.03,,0.0,
0.03,,"[99, 150, 226, 271]",,0.0,,0.02,,0.0,,0.91,,0.05,,0.0,
0.03,,"[99, 150, 225, 270]",,0.0,,0.02,,0.0,,0.89,,0.05,,0.0,
0.05,,"[97, 150, 227, 270]",,0.0,,0.03,,0.0,,0.85,,0.07,,0.0,
0.01,,"[98, 149, 227, 270]",,0.0,,0.01,,0.0,,0.95,,0.03,,0.0,
0.02,,"[98, 141, 226, 285]",,0.0,,0.06,,0.0,,0.86,,0.05,,0.01,
0.02,,"[98, 142, 226, 284]",,0.0,,0.12,,0.0,,0.79,,0.06,,0.01,
0.03,,"[98, 149, 226, 270]",,0.0,,0.02,,0.0,,0.87,,0.08,,0.0,
0.03,,"[97, 150, 227, 270]",,0.0,,0.02,,0.0,,0.87,,0.08,,0.0,
0.04,,"[96, 148, 229, 272]",,0.0,,0.03,,0.0,,0.83,,0.1,,0.0,
0.07,,"[97, 148, 229, 271]",,0.0,,0.06,,0.0,,0.75,,0.12,,0.0,
0.02,,"[97, 150, 229, 270]",,0.0,,0.05,,0.0,,0.87,,0.06,,0.0,
0.02,,"[98, 150, 228, 270]",,0.0,,0.06,,0.0,,0.84,,0.08,,0.0,
0.02,,"[98, 148, 228, 272]",,0.0,,0.04,,0.0,,0.87,,0.07,,0.0,
0.01,,"[100, 149, 227, 272]",,0.0,,0.04,,0.0,,0.87,,0.08,,0.0,
0.02,,"[100, 149, 226, 271]",,0.0,,0.04,,0.0,,0.83,,0.11,,0.0,
0.03,,"[101, 149, 225, 271]",,0.0,,0.05,,0.0,,0.78,,0.13,,0.0,
0.05,,"[100, 148, 226, 273]",,0.0,,0.08,,0.0,,0.71,,0.15,,0.0,
0.09,,"[98, 149, 226, 272]",,0.0,,0.13,,0.0,,0.63,,0.14,,0.0,
0.14,,"[99, 150, 225, 271]",,0.0,,0.27,,0.0,,0.37,,0.2,,0.02,
0.12,,"[98, 149, 226, 272]",,0.0,,0.21,,0.0,,0.49,,0.16,,0.02,
0.14,,"[98, 149, 226, 272]",,0.0,,0.26,,0.0,,0.39,,0.2,,0.02,
0.15,,"[99, 149, 225, 272]",,0.0,,0.22,,0.0,,0.35,,0.27,,0.01,
0.14,,"[99, 149, 225, 271]",,0.0,,0.13,,0.0,,0.49,,0.23,,0.01,
0.16,,"[99, 150, 224, 270]",,0.0,,0.09,,0.0,,0.51,,0.25,,0.0,
0.12,,"[100, 149, 224, 269]",,0.0,,0.09,,0.0,,0.56,,0.23,,0.0,
0.13,,"[99, 148, 226, 272]",,0.0,,0.07,,0.0,,0.56,,0.23,,0.0,
0.15,,"[100, 148, 225, 272]",,0.0,,0.1,,0.0,,0.53,,0.21,,0.0,
0.17,,"[100, 149, 226, 270]",,0.0,,0.07,,0.0,,0.56,,0.2,,0.0,
0.14,,"[100, 149, 226, 271]",,0.0,,0.06,,0.0,,0.59,,0.21,,0.0,
0.22,,"[100, 148, 226, 272]",,0.0,,0.1,,0.0,,0.44,,0.23,,0.0,
0.18,,"[100, 148, 225, 272]",,0.0,,0.11,,0.0,,0.48,,0.23,,0.0,
0.14,,"[100, 149, 225, 271]",,0.0,,0.07,,0.0,,0.58,,0.21,,0.0,
0.16,,"[100, 149, 225, 271]",,0.0,,0.06,,0.0,,0.57,,0.2,,0.0,
0.2,,"[99, 149, 226, 271]",,0.0,,0.07,,0.0,,0.54,,0.19,,0.0,
0.18,,"[99, 149, 226, 271]",,0.0,,0.08,,0.0,,0.53,,0.21,,0.0,
0.13,,"[99, 148, 226, 272]",,0.0,,0.08,,0.0,,0.59,,0.2,,0.0,
